[10000];	//角色唯一编号
}……天亮了，今天天气真不错.}我该出去转转了，顺便弄点好吃的！嘻嘻……@;

[30001];	//自言自语（城门口）
}……现在出城去干什么呢？没什么事，还不如回家睡觉去。@;
}咦！什么声音？}怎么大家都好像很惊慌的样子？刚才不是还好好的嘛！{不好了，十年前被剑圣打败的大魔王，刚才突然又出现了。}他干了些什么？{大魔王杀进了皇宫，把美丽的公主给掳走了，还限国王在三天之内交出王位，不然，就要杀掉公主！}什么！公主！ [我暗恋多年的公主！不行，绝对不行！]}大魔王太阴险了，现在剑圣已经死了。谁还可以制止大魔王呢？{我看没有人可以了，除非……}怎么样？{找到失落的‘圣剑’！，不过希望太渺茫了……{不跟你说了，我还是先到乡下去躲一躲吧。}不行，不能让大魔王得逞。.[等着吧。我一定会阻止这场浩劫的]@;

[30002];	//自言自语（神殿门口）
}再过去就是大魔王的宫殿了，我还没找到‘圣剑’，进去等于是送死啊！}还是先找‘圣剑’吧！@;

[30003];	//（击败大魔王）
{什么？这……这……{不！不可能的！！绝对不可能的！！！{我纵横一生，经过了多少的大风大浪，想不到最后会死在一个毛头小子的手里，真是造化弄人啊！}这叫做“多行不义必自毙！}就算你再强大、再厉害，但是，你如果要破坏人类的和平！就一定会得到报应的！}因为世界人民是不会在强权面前屈服的，相反你越是欺压他们，他们就越是会团结在一起。不管多强大的敌人，也一样可以击败！{呼……呼…… 我终于明白了，不过已经太迟了{就让我来生做个好人吧！永别了……{……}……}[一切都结束了，从此‘白云城’又会恢复和平}希望以后永远都不要再发生战斗了……]}@;

[30004];	//和公主最后的对白
{啊！……{我可以动了}太好了公主，魔法已经解除了，大魔王永远的死了！{谢谢你，我的勇士！你挽救了整个国家！}嘿嘿……其实也没什么！我只不过是做了我该做的事！{我代表父王感谢你，你救了我！}公主，我有一个想法……不知道该不该说？{什么想法？}你不要生气哦！{我怎么会生气呢！}我……我……其实……其实一直都好喜欢公主！ [好紧张、好紧张！！！]{你……你这人好……}好什么？{好那个……}哪个？{我不跟你说了，要说你跟我父王去说吧！（公主的脸红了）}[太好了！她是答应我了]耶！}那我们这就走吧……………[THE END]@;

[10001];	//白云城居民
